db_id,question,gold_sql,predicted_sql,execution_accuracy
concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer;,MATCH
concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer;,MATCH
concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age
FROM singer
ORDER BY Age DESC;",MATCH
concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT singer.Name, singer.Country, singer.Age
FROM singer
ORDER BY singer.Age DESC;",MATCH
concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(singer.Age) AS average_age, MIN(singer.Age) AS minimum_age, MAX(singer.Age) AS maximum_age
FROM singer
WHERE Country = 'France';",MATCH
concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS avg_age, MIN(age) AS min_age, MAX(age) AS max_age
FROM singer
WHERE Country = 'France';",MATCH
concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Name AS singer_name, s.Song_release_year
FROM singer s
ORDER BY s.Age ASC
LIMIT 1",MISMATCH
concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","To find the names and release years for all the songs of the youngest singer, you can use the following SQL query:

```sql
SELECT s.Name AS singer_name, s.Song_Name, s.Song_release_year
FROM singer s
ORDER BY s.Age ASC
LIMIT 1
-- This query will return the name, song name, and release year of the youngest singer

-- To get the songs of this singer","PRED_FAIL: near ""To"": syntax error"
concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT DISTINCT singer.Country
FROM singer
WHERE Age > 20;",MATCH
concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT Country 
FROM singer 
WHERE Age > 20 
GROUP BY Country 
ORDER BY Country;",MATCH
concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT s.Country, COUNT(*) as Number_of_Singers
FROM singer s
GROUP BY s.Country;",MATCH
concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(*) as Number_of_Singers
FROM singer
GROUP BY Country;",MATCH
concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT s.Song_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.concert_ID = c.concert_ID
JOIN stadium st ON c.Stadium_ID = st.Stadium_ID
WHERE s.Age > (
  SELECT AVG(Age)
 ",PRED_FAIL: incomplete input
concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"To find all the song names by singers who are older than the average age of all singers in the database, you can use the following SQL query:

```sql
SELECT s.Song_Name
FROM singer s
JOIN (
  SELECT AVG(Age) OVER () AS avg_age
  FROM singer
) avg_age ON 1=1
WHERE s.Age > avg_age.avg","PRED_FAIL: near ""To"": syntax error"
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Stadium.Location, Stadium.Name
FROM Stadium
WHERE Capacity BETWEEN 5000 AND 10000;",MATCH
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Stadium.Location, Stadium.Name
 FROM Stadium
 WHERE Capacity BETWEEN 5000 AND 10000;",MATCH
concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(Capacity) as Maximum_Capacity, AVG(Capacity) as Average_Capacity
FROM stadium;",MISMATCH
